BCV	text	func_morph	form_morph	strongs	lemma	normalized
Matt 1:17	μετοικεσίας	N-GSF	N-GSF	3350	μετοικεσία	μετοικεσίας	
Matt 1:17	Βαβυλῶνος	N-GSF	N-GSF	897	Βαβυλών	Βαβυλῶνος	
Matt 1:17	ἕως	ADV	ADV	2193	ἕως	ἕως	
Matt 1:17	τοῦ	T-GSM	T-GSM	3588	ὁ	τοῦ	
Matt 1:17	Χριστοῦ	N-GSM	N-GSM	5547	Χριστός	Χριστοῦ	
Matt 1:17	γενεαὶ	N-NPF	N-NPF	1074	γενεά	γενεαί	
Matt 1:17	δεκατέσσαρες.	A-NPF	A-NPF	1180	δεκατέσσαρες	δεκατέσσαρες	
Matt 1:18	Τοῦ	T-GSM	T-GSM	3588	ὁ	Τοῦ	
Matt 1:18	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:18	Ἰησοῦ	N-GSM	N-GSM	2424	Ἰησοῦς	Ἰησοῦ	
Matt 1:18	Χριστοῦ	N-GSM	N-GSM	5547	Χριστός	Χριστοῦ	
Matt 1:18	ἡ	T-NSF	T-NSF	3588	ὁ	ἡ	
Matt 1:18	γένεσις	N-NSF	N-NSF	1078	γένεσις	γένεσις	
Matt 1:18	οὕτως	ADV	ADV	3779	οὕτω	οὕτως	
Matt 1:18	ἦν.	V-IAI-3S	V-IAI-3S	1510&5707	εἰμί	ἦν	
Matt 1:18	μνηστευθείσης	V-APP-GSF	V-APP-GSF	3423&5685	μνηστεύω	μνηστευθείσης	
Matt 1:18	τῆς	T-GSF	T-GSF	3588	ὁ	τῆς	
Matt 1:18	μητρὸς	N-GSF	N-GSF	3384	μήτηρ	μητρός	
Matt 1:18	αὐτοῦ	P-GSM	P-GSM	846	αὐτός	αὐτοῦ	
Matt 1:18	Μαρίας	N-GSF	N-GSF	3137	Μαρία	Μαρίας	
Matt 1:18	τῷ	T-DSM	T-DSM	3588	ὁ	τῷ	
Matt 1:18	Ἰωσήφ,	N-PRI	N-PRI	2501	Ἰωσήφ	Ἰωσήφ	
Matt 1:18	πρὶν	ADV	ADV	4250	πρίν	πρίν	
Matt 1:18	ἢ	PRT	PRT	2228	ἤ	ἤ	
Matt 1:18	συνελθεῖν	V-2AAN	V-2AAN	4905&5629	συνέρχομαι	συνελθεῖν	
Matt 1:18	αὐτοὺς	P-APM	P-APM	846	αὐτός	αὐτούς	
Matt 1:18	εὑρέθη	V-API-3S	V-API-3S	2147&5681	εὑρίσκω	εὑρέθη	
Matt 1:18	ἐν	PREP	PREP	1722	ἐν	ἐν	
Matt 1:18	γαστρὶ	N-DSF	N-DSF	1064	γαστήρ	γαστρί	
